Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,251.500000,254.800003,250.750000,251.500000,233.160294,218029
2007-01-03,253.449997,258.549988,249.500000,257.850006,239.047256,877596
2007-01-04,259.399994,259.399994,252.100006,255.149994,236.544098,675088
2007-01-05,260.000000,260.000000,252.050003,253.600006,235.107162,485228
2007-01-08,253.600006,253.600006,245.050003,247.550003,229.498306,574365
2007-01-09,248.850006,251.449997,242.300003,244.100006,226.299896,581021
2007-01-10,245.000000,245.250000,231.100006,242.800003,225.094696,1095221
2007-01-11,244.000000,247.699997,241.699997,246.699997,228.710312,562074
2007-01-12,250.000000,256.950012,247.000000,255.199997,236.590485,959213
2007-01-15,258.500000,260.000000,255.000000,258.000000,239.186264,900079
2007-01-16,259.000000,259.799988,255.449997,258.850006,239.974319,548586
2007-01-17,262.500000,262.500000,255.899994,261.049988,242.013855,826563
2007-01-18,261.450012,261.899994,258.000000,259.600006,240.669647,429742
2007-01-19,259.600006,259.600006,250.199997,252.550003,234.133713,728297
2007-01-22,254.000000,255.800003,252.000000,254.899994,236.312332,220586
2007-01-23,254.000000,256.950012,253.550003,254.750000,236.173325,293804
2007-01-24,248.100006,254.500000,246.050003,246.800003,228.803024,1407677
2007-01-25,249.500000,251.000000,239.550003,243.899994,226.114471,1722547
2007-01-29,247.100006,251.899994,245.500000,248.600006,230.471725,1812011
2007-01-31,247.000000,248.500000,242.050003,246.300003,228.339493,693149
2007-02-01,245.100006,248.750000,243.850006,247.000000,228.988449,255265
2007-02-02,249.949997,252.699997,246.149994,249.850006,231.630630,839338
2007-02-05,252.000000,252.000000,246.949997,248.449997,230.332657,405070
2007-02-06,248.449997,251.850006,246.000000,250.149994,231.908737,656367
2007-02-07,248.000000,259.399994,247.649994,257.500000,238.722763,1319482
2007-02-08,258.399994,260.000000,253.550003,257.100006,238.351929,693483
2007-02-09,253.350006,255.899994,251.500000,252.500000,234.087372,477806
2007-02-12,253.699997,255.000000,246.149994,248.350006,230.239990,594455
2007-02-13,251.699997,251.699997,241.050003,243.550003,225.790009,819069
2007-02-14,242.250000,246.800003,231.399994,244.000000,226.207199,520840
2007-02-15,259.200012,267.000000,238.000000,256.649994,237.934723,1030747
2007-02-19,257.149994,259.000000,253.000000,255.500000,236.868622,807529
2007-02-20,254.800003,256.500000,250.050003,254.649994,236.080597,860174
2007-02-21,254.899994,257.500000,249.600006,254.399994,235.848801,980154
2007-02-22,252.050003,255.850006,245.000000,247.699997,229.637390,1055138
